[0.0005198495928198099, 0.0005669516394846141]
[8.202488061215263e-06, 2.592938471934758e-05]
[1.0263744115945883e-05, 2.3513037376687862e-05]
[5.410898211266613e-06, 3.748873496078886e-05]
[2.1142896002857015e-05, 6.686736014671624e-05]
[3.304933488834649e-05, 5.110981874167919e-05]
[3.543487036949955e-05, 6.021387525834143e-05]
[5.883520861971192e-05, 7.211484626168385e-05]
[7.63420612202026e-05, 6.65452316752635e-05]
[8.672327385284007e-05, 6.187735561979935e-05]
[4.3798838305519894e-05, 7.034186273813248e-05]
[7.43488417356275e-05, 7.58166570449248e-05]
[4.96051216032356e-05, 8.451783651253209e-05]
[5.680664617102593e-05, 5.7667963119456545e-05]
[7.407102384604514e-05, 7.588628795929253e-05]
[6.131285772426054e-05, 5.184881956665777e-05]
[2.3698075892752968e-05, 5.925462755840272e-05]
[3.34035576088354e-05, 3.8486585253849626e-05]
[4.222393181407824e-05, 4.06680119340308e-05]
[3.2427171390736476e-05, 4.134688060730696e-05]
[5.075566878076643e-05, 4.488374906941317e-05]
[4.1266939660999924e-05, 4.1288367356173694e-05]
[3.422404915909283e-05, 2.5113045921898447e-05]
[3.410197314224206e-05, 2.6885358238359913e-05]
[3.278669100836851e-05, 2.0326222511357628e-05]
[4.30377695010975e-05, 2.7160738682141528e-05]
[3.957710214308463e-05, 1.8460219507687725e-05]
[2.4729610231588595e-05, 1.682820584392175e-05]
[3.173292861902155e-05, 1.6330546714016236e-05]
[3.097201624768786e-05, 1.5005451132310554e-05]
[2.962305188702885e-05, 1.7563439541845582e-05]
[4.330477167968638e-05, 2.8834012482548133e-05]
[2.850713462976273e-05, 2.011814467550721e-05]
[4.336909478297457e-05, 1.7398615455022082e-05]
[1.9438122762949206e-05, 2.1009760530432686e-05]
[2.2575446564587764e-05, 1.609797982382588e-05]
[4.07565530622378e-05, 2.3024284018902108e-05]
[3.17363919748459e-05, 2.2167223505675793e-05]
[3.869414285873063e-05, 2.377175223955419e-05]
[2.7218382456339896e-05, 2.2938798792893067e-05]
[2.461058465996757e-05, 1.762064130161889e-05]
[2.936285272880923e-05, 1.910231185320299e-05]
[1.84372765943408e-05, 2.2730488126398996e-05]
[4.483711381908506e-05, 1.7453892724006437e-05]
[1.7877284335554577e-05, 1.9983313904958777e-05]
[3.3816646464401856e-05, 2.2858519514556974e-05]
[3.069175363634713e-05, 1.805921783670783e-05]
[1.762574538588524e-05, 1.985060953302309e-05]
[2.4712213416933082e-05, 1.5172944586083759e-05]
[1.8879543858929537e-05, 2.219586167484522e-05]
[3.0110333682387136e-05, 2.1460338757606223e-05]
[2.5893508791341446e-05, 1.9148217688780278e-05]
[3.058991569560021e-05, 1.2477637028496247e-05]
[2.833777034538798e-05, 2.281445631524548e-05]
[3.9923150325194e-05, 2.64784994215006e-05]
