[0.09583018720149994, 0.09613680839538574]
[-0.0009222420048899949, -0.0019855627324432135]
[-0.004509364254772663, 0.001580632757395506]
[-0.00013886086526326835, 0.006989296525716782]
[0.0017507891170680523, 0.006737141869962215]
[0.0006553020793944597, 0.00575913256034255]
[-0.001716751023195684, 0.006199786439538002]
[-0.0030175396241247654, 0.0035077943466603756]
[-0.012668282724916935, 0.004586195107549429]
[-0.021224642172455788, 0.004876009188592434]
[-0.020846202969551086, 0.005347695201635361]
[-0.023569069802761078, 0.005464512854814529]
[-0.02040257677435875, 0.005248033441603184]
[-0.021131079643964767, 0.005348591133952141]
[-0.01516103558242321, -0.007426454685628414]
[-0.023118121549487114, -0.003177767852321267]
[-0.018149983137845993, -0.0019009759416803718]
[-0.018575914204120636, 0.002370114903897047]
[-0.016293901950120926, 0.0026375276502221823]
[-0.0194254070520401, 0.002961894264444709]
